group_id,id,total.minutes,date_arrive,id_count,date
2018-07-27_1120,1120,61.0,27/07/2018,1,2018-07-27
2018-07-27_1124,1124,456.0,27/07/2018,1,2018-07-27
2018-07-27_14,1101_3040,182.0,27/07/2018,2,2018-07-27
2018-07-27_4,3040_3041_3077,97.0,27/07/2018,3,2018-07-27
2018-07-27_5,2038_2039_2523,480.6666666666667,27/07/2018,3,2018-07-27
2018-07-27_6,1006_1122,295.0,27/07/2018,2,2018-07-27
2018-07-27_8,1102_1115_1121_3076_3117,385.8,27/07/2018,5,2018-07-27
2018-07-27_9,1120_3077,247.0,27/07/2018,2,2018-07-27
2018-07-28_1,1006_1010_1011,29.0,28/07/2018,3,2018-07-28
2018-07-28_10,1115_1120_3041_3076,186.0,28/07/2018,4,2018-07-28
2018-07-28_11,1116_1124,239.0,28/07/2018,2,2018-07-28
2018-07-28_1101,1101,117.0,28/07/2018,1,2018-07-28
2018-07-28_1102,1102,165.0,28/07/2018,1,2018-07-28
2018-07-28_12,1007_1008_1009_1010_1011_1016_1031_2513_2523_3117,38.3,28/07/2018,10,2018-07-28
2018-07-28_14,1101_1102,55.5,28/07/2018,2,2018-07-28
2018-07-28_2,1121_1122_3077,446.0,28/07/2018,3,2018-07-28
2018-07-28_2038,2038,255.0,28/07/2018,1,2018-07-28
2018-07-28_3,1006_1032,22.0,28/07/2018,2,2018-07-28
2018-07-28_3040,3040,152.0,28/07/2018,1,2018-07-28
2018-07-28_4,1016_3117,197.0,28/07/2018,2,2018-07-28
2018-07-28_5,1006_1010_1030_1032,4.5,28/07/2018,4,2018-07-28
2018-07-28_7,1007_2513_2523,122.0,28/07/2018,3,2018-07-28
2018-07-28_8,1009_1031,6.0,28/07/2018,2,2018-07-28
2018-07-28_9,1006_1032,108.0,28/07/2018,2,2018-07-28
2018-07-29_10,1007_2523,102.0,29/07/2018,2,2018-07-29
2018-07-29_11,1104_1121_1122,343.6666666666667,29/07/2018,3,2018-07-29
2018-07-29_1103,1103,85.0,29/07/2018,1,2018-07-29
2018-07-29_13,3040_3041_3076_3077,252.75,29/07/2018,4,2018-07-29
2018-07-29_14,1007_1010_2523,41.0,29/07/2018,3,2018-07-29
2018-07-29_15,1006_1032_1103,89.0,29/07/2018,3,2018-07-29
2018-07-29_16,3040_3041_3077,85.33333333333333,29/07/2018,3,2018-07-29
2018-07-29_2,1101_1124,519.0,29/07/2018,2,2018-07-29
2018-07-29_2030,2030,88.0,29/07/2018,1,2018-07-29
2018-07-29_3,1010_1102,91.0,29/07/2018,2,2018-07-29
2018-07-29_5,1007_1008_2523,1.0,29/07/2018,3,2018-07-29
2018-07-29_6,1006_1032,3.0,29/07/2018,2,2018-07-29
2018-07-29_7,2038_2039_2513,546.3333333333334,29/07/2018,3,2018-07-29
2018-07-29_8,3040_3041_3077,10.0,29/07/2018,3,2018-07-29
2018-07-29_9,1006_1032_1116_1120,144.5,29/07/2018,4,2018-07-29
2018-07-30_1,1121_3117,23.0,30/07/2018,2,2018-07-30
2018-07-30_10,1032_1122,401.5,30/07/2018,2,2018-07-30
2018-07-30_11,1102_1115_1120_1121,309.0,30/07/2018,4,2018-07-30
2018-07-30_1101,1101,163.0,30/07/2018,1,2018-07-30
2018-07-30_12,2038_2039,366.5,30/07/2018,2,2018-07-30
2018-07-30_13,1008_1009_1010_1011_1031_2539,40.833333333333336,30/07/2018,6,2018-07-30
2018-07-30_14,1010_1011_1101_2539,26.75,30/07/2018,4,2018-07-30
2018-07-30_15,1032_1101,63.0,30/07/2018,2,2018-07-30
2018-07-30_2038,2038,114.0,30/07/2018,1,2018-07-30
2018-07-30_3,1104_3076_3077,673.0,30/07/2018,3,2018-07-30
