group_id,kcal,type,date,group_size,forager_ids
2018-07-26_3117,2571.630500018225,foraging,2018-07-26,1,{'3117'}
2018-07-27_1006,1239.88563186395,foraging,2018-07-27,1,{'1006'}
2018-07-27_1007,0.0,foraging,2018-07-27,1,{'1007'}
2018-07-27_1008,0.0,foraging,2018-07-27,1,{'1008'}
2018-07-27_1009,0.0,foraging,2018-07-27,1,{'1009'}
2018-07-27_1010,0.0,foraging,2018-07-27,1,{'1010'}
2018-07-27_1030_1031,0.0,foraging,2018-07-27,2,"{'1031', '1030'}"
2018-07-27_1032,650.205358,foraging,2018-07-27,1,{'1032'}
2018-07-27_1101,623.1375,foraging,2018-07-27,1,{'1101'}
2018-07-27_1102,5807.75,foraging,2018-07-27,1,{'1102'}
2018-07-27_1115,2578.8,foraging,2018-07-27,1,{'1115'}
2018-07-27_1116_1124,1188.7398733333332,foraging,2018-07-27,2,"{'1124', '1116'}"
2018-07-27_1120,14754.0,foraging,2018-07-27,1,{'1120'}
2018-07-27_1120_3077,746.933828125,foraging,2018-07-27,2,"{'1120', '3077'}"
2018-07-27_1121,3500.6666666666665,foraging,2018-07-27,1,{'1121'}
2018-07-27_1122,497.6300935,foraging,2018-07-27,1,{'1122'}
2018-07-27_2020,1940.2500000000002,foraging,2018-07-27,1,{'2020'}
2018-07-27_2038_2039,2227.5,foraging,2018-07-27,2,"{'2038', '2039'}"
2018-07-27_2039,619.652200003645,foraging,2018-07-27,1,{'2039'}
2018-07-27_2521,162.52672275,foraging,2018-07-27,1,{'2521'}
2018-07-27_3040,922.2435,foraging,2018-07-27,1,{'3040'}
2018-07-27_3040_3041_3077,1351.2691375000002,foraging,2018-07-27,3,"{'3040', '3041', '3077'}"
2018-07-27_3075,2430.0,foraging,2018-07-27,1,{'3075'}
2018-07-27_3076,1924.895,foraging,2018-07-27,1,{'3076'}
2018-07-27_3117,2380.0,foraging,2018-07-27,1,{'3117'}
2018-07-28_1006,794.95625,foraging,2018-07-28,1,{'1006'}
2018-07-28_1006_1032,63.5999058,foraging,2018-07-28,2,"{'1032', '1006'}"
2018-07-28_1007_1008_1009_1010_1011_1016_1031_2513_2523_3117,314.68181780000003,foraging,2018-07-28,10,"{'2523', '1010', '1009', '1031', '3117', '1008', '1007', '1016', '1011', '2513'}"
2018-07-28_1007_2513_2523,168.6825,foraging,2018-07-28,3,"{'2523', '1007', '2513'}"
2018-07-28_1010,250.37992125000002,foraging,2018-07-28,1,{'1010'}
2018-07-28_1016_3117,111.57806666666666,foraging,2018-07-28,2,"{'1016', '3117'}"
2018-07-28_1030,140.856310546875,foraging,2018-07-28,1,{'1030'}
2018-07-28_1032,794.95625,foraging,2018-07-28,1,{'1032'}
2018-07-28_1102,313.4142494709167,foraging,2018-07-28,1,{'1102'}
