Date,gift,id,pooled_group,article_consumed,quantity,X1_unit_weight_grams,index,source,total_weight_grams
13/08/2018,0,2544,3,maondo-with peel,37,429,2,fieldnotes. ,15873
13/08/2018,0,3118,3,maondo-with peel,37,429,2,fieldnotes. ,15873
13/08/2018,0,3040,4,honey,2.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",3550
13/08/2018,0,3041,4,honey,2.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",3550
13/08/2018,0,2039,5,mela,9,100,35,"fieldnotes. ""minimum return""",900
13/08/2018,0,2522,5,mela,9,100,35,"fieldnotes. ""minimum return""",900
14/08/2018,0,1007,1,maondo-with peel,10,429,2,fieldnotes. ,4290
14/08/2018,0,2523,1,maondo-with peel,10,429,2,fieldnotes. ,4290
14/08/2018,0,1007,2,maondo-with peel,23,429,2,fieldnotes. ,9867
14/08/2018,0,1010,2,maondo-with peel,23,429,2,fieldnotes. ,9867
14/08/2018,0,1011,2,maondo-with peel,23,429,2,fieldnotes. ,9867
14/08/2018,0,2513,2,maondo-with peel,23,429,2,fieldnotes. ,9867
14/08/2018,0,2523,2,maondo-with peel,23,429,2,fieldnotes. ,9867
14/08/2018,0,2539,2,maondo-with peel,23,429,2,fieldnotes. ,9867
14/08/2018,0,2544,2,maondo-with peel,23,429,2,fieldnotes. ,9867
14/08/2018,0,1036,2,maondo-with peel,23,429,2,fieldnotes. ,9867
14/08/2018,0,3118,2,maondo-with peel,23,429,2,fieldnotes. ,9867
15/08/2018,0,1116,1,honey,2,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2840
15/08/2018,0,1124,1,honey,2,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2840
16/08/2018,0,1116,1,ediki-with centre,3,963,55,fieldnotes. ,2889
16/08/2018,0,1124,1,ediki-with centre,3,963,55,fieldnotes. ,2889
16/08/2018,0,2522,1,ediki-with centre,3,963,55,fieldnotes. ,2889
16/08/2018,0,1101,2,honey,2.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",3550
16/08/2018,0,1006,2,honey,2.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",3550
17/08/2018,0,1028,1,palm wine,3,1000,10,fieldnotes. We took same weight as water,3000
17/08/2018,0,1121,1,palm wine,3,1000,10,fieldnotes. We took same weight as water,3000
17/08/2018,0,1023,1,palm wine,3,1000,10,fieldnotes. We took same weight as water,3000
18/08/2018,0,1032,1,palm wine,3,1000,10,fieldnotes. We took same weight as water,3000
18/08/2018,0,1006,1,palm wine,3,1000,10,fieldnotes. We took same weight as water,3000
18/08/2018,0,1007,2,maondo-with peel,15,429,2,fieldnotes. ,6435
18/08/2018,0,2523,2,maondo-with peel,15,429,2,fieldnotes. ,6435
18/08/2018,0,1007,3,palm wine,4.5,1000,10,fieldnotes. We took same weight as water,4500
18/08/2018,0,2523,3,palm wine,4.5,1000,10,fieldnotes. We took same weight as water,4500
18/08/2018,0,3118,3,palm wine,4.5,1000,10,fieldnotes. We took same weight as water,4500
18/08/2018,0,1028,4,mobe,1,1380,1,average from all mobe returned to camp. ,1380
18/08/2018,0,1035,4,mobe,1,1380,1,average from all mobe returned to camp. ,1380
18/08/2018,0,1121,4,mobe,1,1380,1,average from all mobe returned to camp. ,1380
18/08/2018,0,2522,4,mobe,1,1380,1,average from all mobe returned to camp. ,1380
18/08/2018,0,1023,4,mobe,1,1380,1,average from all mobe returned to camp. ,1380
19/08/2018,0,1007,1,ediki-with centre,3,963,55,fieldnotes. ,2889
19/08/2018,0,2523,1,ediki-with centre,3,963,55,fieldnotes. ,2889
19/08/2018,0,1007,2,palm wine,6.5,1000,10,fieldnotes. We took same weight as water,6500
19/08/2018,0,2523,2,palm wine,6.5,1000,10,fieldnotes. We took same weight as water,6500
19/08/2018,0,3118,2,palm wine,6.5,1000,10,fieldnotes. We took same weight as water,6500
20/08/2018,0,1103,1,blue duiker head,1,1376,65,average of two heads measured in food returns. ,1376
20/08/2018,0,1119,1,blue duiker head,1,1376,65,average of two heads measured in food returns. ,1376
23/07/2018,0,1007,1,maondo-with peel,4,429,2,fieldnotes. ,1716
23/07/2018,0,1010,1,maondo-with peel,4,429,2,fieldnotes. ,1716
23/07/2018,0,1016,1,maondo-with peel,4,429,2,fieldnotes. ,1716
23/07/2018,0,1032,1,maondo-with peel,4,429,2,fieldnotes. ,1716
23/07/2018,0,3077,1,maondo-with peel,4,429,2,fieldnotes. ,1716
23/07/2018,0,1008,1,maondo-with peel,4,429,2,fieldnotes. ,1716
23/07/2018,0,1007,2,ediki-with centre,7,963,55,fieldnotes. ,6741
23/07/2018,0,1010,2,ediki-with centre,7,963,55,fieldnotes. ,6741
23/07/2018,0,1011,2,ediki-with centre,7,963,55,fieldnotes. ,6741
23/07/2018,0,1016,2,ediki-with centre,7,963,55,fieldnotes. ,6741
23/07/2018,0,1009,2,ediki-with centre,7,963,55,fieldnotes. ,6741
23/07/2018,0,1008,2,ediki-with centre,7,963,55,fieldnotes. ,6741
24/07/2018,0,1007,1,maondo-with peel,31,429,2,fieldnotes. ,13299
24/07/2018,0,1011,1,maondo-with peel,31,429,2,fieldnotes. ,13299
24/07/2018,0,1016,1,maondo-with peel,31,429,2,fieldnotes. ,13299
24/07/2018,0,1009,1,maondo-with peel,31,429,2,fieldnotes. ,13299
24/07/2018,0,2513,1,maondo-with peel,31,429,2,fieldnotes. ,13299
24/07/2018,0,2544,1,maondo-with peel,31,429,2,fieldnotes. ,13299
24/07/2018,0,3117,1,maondo-with peel,31,429,2,fieldnotes. ,13299
24/07/2018,0,1008,1,maondo-with peel,31,429,2,fieldnotes. ,13299
24/07/2018,0,1119,2,payo,5,57,32,"fieldnotes. ""minimum return""",285
24/07/2018,0,1120,2,payo,5,57,32,"fieldnotes. ""minimum return""",285
24/07/2018,0,1103,3,mobe,1,1380,1,average from all mobe returned to camp. ,1380
24/07/2018,0,1104,3,mobe,1,1380,1,average from all mobe returned to camp. ,1380
24/07/2018,0,1031,4,corn,8,100,42,"fieldnotes. ""minimum return""",800
24/07/2018,0,1116,4,corn,8,100,42,"fieldnotes. ""minimum return""",800
24/07/2018,0,1124,4,corn,8,100,42,"fieldnotes. ""minimum return""",800
24/07/2018,0,1031,5,honey,0.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",710
24/07/2018,0,1116,5,honey,0.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",710
24/07/2018,0,1124,5,honey,0.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",710
25/08/2018,0,1007,1,palm wine,1.5,1000,10,fieldnotes. We took same weight as water,1500
25/08/2018,0,2523,1,palm wine,1.5,1000,10,fieldnotes. We took same weight as water,1500
26/07/2018,0,1010,1,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
26/07/2018,0,1032,1,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
26/07/2018,0,1006,1,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
26/07/2018,0,2038,2,banana,4,127,38,"usda, NDB Number:9040, mean of average weight for 4 sizes of bananas 
https://fdc.nal.usda.gov/fdc-app.html#/food-details/173944/measures. ",508
26/07/2018,0,2039,2,banana,4,127,38,"usda, NDB Number:9040, mean of average weight for 4 sizes of bananas 
https://fdc.nal.usda.gov/fdc-app.html#/food-details/173944/measures. ",508
26/08/2018,0,1007,1,palm wine,2.5,1000,10,fieldnotes. We took same weight as water,2500
26/08/2018,0,2523,1,palm wine,2.5,1000,10,fieldnotes. We took same weight as water,2500
26/08/2018,0,1103,2,honey,8,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",11360
26/08/2018,0,1119,2,honey,8,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",11360
26/08/2018,0,1016,3,caterpillars,1,500,75,NA. ,500
26/08/2018,0,1028,3,caterpillars,1,500,75,NA. ,500
26/08/2018,0,1102,3,caterpillars,1,500,75,NA. ,500
27/07/2018,0,1007,1,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
27/07/2018,0,1010,1,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
27/07/2018,0,1032,1,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
27/07/2018,0,1116,2,banana,2,127,38,"usda, NDB Number:9040, mean of average weight for 4 sizes of bananas 
https://fdc.nal.usda.gov/fdc-app.html#/food-details/173944/measures. ",254
27/07/2018,0,1124,2,banana,2,127,38,"usda, NDB Number:9040, mean of average weight for 4 sizes of bananas 
https://fdc.nal.usda.gov/fdc-app.html#/food-details/173944/measures. ",254
27/07/2018,0,1116,3,fish,3,404,76,fieldnotes. we took the median of all the raw fish in our samples,1212
27/07/2018,0,1124,3,fish,3,404,76,fieldnotes. we took the median of all the raw fish in our samples,1212
27/07/2018,0,1116,4,matokodi,3,200,48,"fieldnotes. ""minimum return""",600
27/07/2018,0,1124,4,matokodi,3,200,48,"fieldnotes. ""minimum return""",600
27/08/2018,0,1007,1,honey,1,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",1420
27/08/2018,0,2513,1,honey,1,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",1420
28/07/2018,0,1032,1,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
28/07/2018,0,1006,1,palm wine,0.5,1000,10,fieldnotes. We took same weight as water,500
28/07/2018,0,1031,2,papaya-with peel,1,420,11,fieldnotes. ,420
28/07/2018,0,1009,2,papaya-with peel,1,420,11,fieldnotes. ,420
28/07/2018,0,1007,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,1010,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,1011,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,1016,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,1031,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,1009,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,2513,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,2523,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,3117,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,1008,3,maondo-with peel,29,429,2,fieldnotes. ,12441
28/07/2018,0,1103,4,kaso-without peel or husk,10,12,NA,fieldnotes. ,120
28/07/2018,0,1104,4,kaso-without peel or husk,10,12,NA,fieldnotes. ,120
28/07/2018,0,1103,5,blue duiker intestins,2,775,70,estimates as average of 1.3kg of intenstines measured in food returns and 0.25kg reported in food recall. ,1550
28/07/2018,0,1104,5,blue duiker intestins,2,775,70,estimates as average of 1.3kg of intenstines measured in food returns and 0.25kg reported in food recall. ,1550
29/07/2018,0,1104,1,honey,2,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2840
29/07/2018,0,1121,1,honey,2,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2840
29/07/2018,0,1122,1,honey,2,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2840
29/07/2018,0,1104,2,honey,0.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",710
29/07/2018,0,1121,2,honey,0.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",710
29/07/2018,0,1122,2,honey,0.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",710
29/07/2018,0,3040,3,maondo-with peel,18,429,2,fieldnotes. ,7722
29/07/2018,0,3041,3,maondo-with peel,18,429,2,fieldnotes. ,7722
29/07/2018,0,3077,3,maondo-with peel,18,429,2,fieldnotes. ,7722
29/08/2018,0,2523,1,maondo-with peel,24,429,2,fieldnotes. ,10296
29/08/2018,0,2544,1,maondo-with peel,24,429,2,fieldnotes. ,10296
29/08/2018,0,1007,2,maondo-with peel,53,429,2,fieldnotes. ,22737
29/08/2018,0,1035,2,maondo-with peel,53,429,2,fieldnotes. ,22737
30/07/2018,0,1011,1,maondo-with peel,2,429,2,fieldnotes. ,858
30/07/2018,0,1031,1,maondo-with peel,2,429,2,fieldnotes. ,858
30/07/2018,0,1009,1,maondo-with peel,2,429,2,fieldnotes. ,858
30/07/2018,0,2539,1,maondo-with peel,2,429,2,fieldnotes. ,858
30/07/2018,0,1008,1,maondo-with peel,2,429,2,fieldnotes. ,858
30/07/2018,0,1116,2,mobe,1,1380,1,average from all mobe returned to camp. ,1380
30/07/2018,0,1124,2,mobe,1,1380,1,average from all mobe returned to camp. ,1380
30/07/2018,0,1116,3,matokodi,2,200,48,"fieldnotes. ""minimum return""",400
30/07/2018,0,1124,3,matokodi,2,200,48,"fieldnotes. ""minimum return""",400
30/07/2018,0,1104,4,corn,6,100,42,"fieldnotes. ""minimum return""",600
30/07/2018,0,3076,4,corn,6,100,42,"fieldnotes. ""minimum return""",600
30/07/2018,0,3077,4,corn,6,100,42,"fieldnotes. ""minimum return""",600
30/08/2018,0,2038,1,caterpillars,1,500,75,NA. ,500
30/08/2018,0,2039,1,caterpillars,1,500,75,NA. ,500
31/07/2018,0,1016,1,ediki-with centre,6,963,55,fieldnotes. ,5778
31/07/2018,0,1035,1,ediki-with centre,6,963,55,fieldnotes. ,5778
31/07/2018,0,3077,1,ediki-with centre,6,963,55,fieldnotes. ,5778
31/07/2018,0,3117,1,ediki-with centre,6,963,55,fieldnotes. ,5778
31/08/2018,0,1101,1,honey,1.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2130
31/08/2018,0,1122,1,honey,1.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2130
31/08/2018,0,2055,1,honey,1.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2130
31/08/2018,0,1006,1,honey,1.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",2130
31/08/2018,0,2522,2,caterpillars,1,1000,75,NA. ,1000
31/08/2018,0,1023,2,caterpillars,1,1000,75,NA. ,1000
31/08/2018,0,1106,2,caterpillars,1,1000,75,NA. ,1000
31/08/2018,0,1101,3,honey,2.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",3550
31/08/2018,0,1122,3,honey,2.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",3550
31/08/2018,0,2055,3,honey,2.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",3550
31/08/2018,0,1006,3,honey,2.5,1420,91,"According to  U.S. Department of Agriculture, Agricultural Research Service. FoodData Central, 1L of raw wild honey sold in the US equals 1,42 kg. https://www.aqua-calc.com/calculate/food-volume-to-weight. For ""HONEY, WILD and RAW, UPC: 07789044033"", ""ORGANIC WILD and RAW HONEY, UPC: 07789043705"" and ""WILD and RAW HONEY, UPC: 07789044034"". ",3550
