group_id,total.minutes,kcal
2018-08-01_15,23.0,0.0
2018-08-01_17,53.0,0.0
2018-08-01_18,19.0,0.0
2018-08-01_2,21.0,632.4
2018-08-01_2030,421.0,24786.0
2018-08-01_3,22.0,1476.0
2018-08-01_3040,359.0,448.659
2018-08-01_4,25.0,222.5
2018-08-01_5,437.0,885.6
2018-08-01_6,16.0,6069.0
2018-08-01_8,391.0,224.772727
2018-08-01_9,561.6666666666666,605.0
2018-08-02_1,17.0,899.090908
2018-08-02_10,463.5,0.0
2018-08-02_1006,16.0,0.0
2018-08-02_11,334.5,0.0
2018-08-02_1101,76.0,0.0
2018-08-02_1124,95.5,0.0
2018-08-02_12,51.30769230769231,0.0
2018-08-02_14,24.11111111111111,0.0
2018-08-02_3,58.0,561.9318175
2018-08-02_3040,65.0,205.86177812024997
2018-08-02_4,27.0,4009.5000000000005
2018-08-02_5,475.0,2214.0
2018-08-02_7,78.0,0.0
2018-08-02_8,410.2,0.0
2018-08-02_9,280.2,0.0
2018-08-03_1,82.0,3688.5
2018-08-03_11,347.0,0.0
2018-08-03_1101,118.5,0.0
2018-08-03_1103,243.0,0.0
2018-08-03_1124,32.0,6059.84
2018-08-03_12,6.0,0.0
2018-08-03_13,99.0,0.0
2018-08-03_14,390.0,0.0
2018-08-03_15,153.66666666666666,0.0
2018-08-03_16,96.0,0.0
2018-08-03_18,359.0,0.0
2018-08-03_2,94.33333333333333,217.0
2018-08-03_20,13.0,0.0
2018-08-03_2038,81.0,0.0
2018-08-03_24,9.5,0.0
2018-08-03_3,1.5,224.772727
2018-08-03_3040,213.5,292.2045451
2018-08-03_5,113.0909090909091,674.318181
2018-08-03_6,102.0,200.30393700000002
2018-08-03_7,145.6,9221.25
2018-08-03_8,296.0,0.0
2018-08-03_9,9.0,0.0
2018-08-04_1,18.0,280.96590875
2018-08-04_10,271.0,0.0
2018-08-04_1032,15.0,1557.31965625
2018-08-04_11,15.333333333333334,0.0
2018-08-04_1101,182.5,299.106
2018-08-04_1103,162.0,0.0
2018-08-04_1124,4.0,2681.457
2018-08-04_12,2.0,0.0
2018-08-04_14,100.5,0.0
2018-08-04_2,462.5,561.9318175
2018-08-04_2030,191.0,2212.180083333333
2018-08-04_3,133.44444444444446,606.8863629
2018-08-04_5,614.5,2672.0689695
2018-08-04_6,535.0,199.404
2018-08-04_7,268.25,1328.4
2018-08-04_8,261.0,341.0
2018-08-04_9,14.0,0.0
2018-08-05_10,2.0,0.0
2018-08-05_11,12.0,0.0
2018-08-05_1101,139.0,0.0
2018-08-05_1106,541.0,4906.524803
2018-08-05_1119,58.0,0.0
2018-08-05_1124,29.0,0.0
2018-08-05_12,74.0,0.0
2018-08-05_13,60.666666666666664,0.0
2018-08-05_14,143.0,0.0
2018-08-05_15,24.0,0.0
2018-08-05_16,15.0,0.0
2018-08-05_17,27.88888888888889,0.0
2018-08-05_2038,108.0,0.0
2018-08-05_2039,187.0,2499.0
2018-08-05_2513,27.0,0.0
2018-08-05_3,538.0,91.875
2018-08-05_5,113.0,22.4772727
