id,date,total.minutes
1006,2018-07-23,150.0
1006,2018-07-24,100.0
1006,2018-07-25,103.0
1006,2018-07-26,165.0
1006,2018-07-27,367.0
1006,2018-07-28,164.0
1006,2018-07-29,136.0
1006,2018-07-30,0.0
1006,2018-07-31,147.0
1006,2018-08-01,307.0
1006,2018-08-02,111.0
1006,2018-08-03,266.0
1006,2018-08-04,18.0
1006,2018-08-05,14.0
1006,2018-08-06,429.0
1006,2018-08-07,369.0
1006,2018-08-08,0.0
1006,2018-08-09,349.0
1006,2018-08-10,219.0
1006,2018-08-11,47.0
1006,2018-08-12,24.0
1006,2018-08-13,216.0
1006,2018-08-14,212.0
1006,2018-08-15,272.0
1006,2018-08-16,420.0
1006,2018-08-17,34.0
1006,2018-08-18,199.0
1006,2018-08-19,
1006,2018-08-20,205.0
1006,2018-08-21,279.0
1006,2018-08-22,37.0
1006,2018-08-23,371.0
1006,2018-08-24,449.0
1006,2018-08-25,0.0
1006,2018-08-26,0.0
1006,2018-08-27,174.0
1006,2018-08-28,519.0
1006,2018-08-29,362.0
1006,2018-08-30,0.0
1006,2018-08-31,209.0
1006,2018-09-01,0.0
1006,2018-09-02,0.0
1007,2018-07-23,132.0
1007,2018-07-24,203.0
1007,2018-07-25,162.0
1007,2018-07-26,109.0
1007,2018-07-27,19.0
1007,2018-07-28,177.0
1007,2018-07-29,144.0
1007,2018-07-30,24.0
1007,2018-07-31,25.0
1007,2018-08-01,25.0
1007,2018-08-02,56.0
1007,2018-08-03,174.0
1007,2018-08-04,135.0
1007,2018-08-05,124.0
1007,2018-08-06,153.0
1007,2018-08-07,51.0
1007,2018-08-08,79.0
1007,2018-08-09,209.0
1007,2018-08-10,261.0
1007,2018-08-11,322.0
1007,2018-08-12,0.0
1007,2018-08-13,173.0
1007,2018-08-14,250.0
1007,2018-08-15,
1007,2018-08-16,172.0
1007,2018-08-17,15.0
1007,2018-08-18,329.0
1007,2018-08-19,262.0
1007,2018-08-20,426.0
1007,2018-08-21,297.0
1007,2018-08-22,0.0
1007,2018-08-23,484.0
1007,2018-08-24,384.0
1007,2018-08-25,202.0
1007,2018-08-26,289.0
1007,2018-08-27,204.0
1007,2018-08-28,235.0
1007,2018-08-29,241.0
1007,2018-08-30,199.0
1007,2018-08-31,147.0
1007,2018-09-01,412.0
1007,2018-09-02,599.0
1008,2018-07-23,121.0
1008,2018-07-24,67.0
1008,2018-07-25,48.0
1008,2018-07-26,13.0
1008,2018-07-27,0.0
1008,2018-07-28,55.0
1008,2018-07-29,1.0
1008,2018-07-30,35.0
1008,2018-07-31,31.0
1008,2018-08-01,25.0
1008,2018-08-02,66.0
1008,2018-08-03,36.0
1008,2018-08-04,0.0
1008,2018-08-05,44.0
1008,2018-08-06,15.0
1008,2018-08-07,9.0
1008,2018-08-08,0.0
1008,2018-08-09,28.0
1008,2018-08-10,0.0
1008,2018-08-11,21.0
1008,2018-08-12,0.0
1008,2018-08-13,33.0
1008,2018-08-14,22.0
1008,2018-08-15,0.0
1008,2018-08-16,150.0
1008,2018-08-17,0.0
1008,2018-08-18,55.0
1008,2018-08-19,32.0
1008,2018-08-20,0.0
1008,2018-08-21,297.0
1008,2018-08-22,62.0
1008,2018-08-23,0.0
1008,2018-08-24,5.0
1008,2018-08-25,0.0
1008,2018-08-26,23.0
1008,2018-08-27,0.0
1008,2018-08-28,527.0
1008,2018-08-29,261.0
1008,2018-08-30,0.0
1008,2018-08-31,0.0
1008,2018-09-01,102.0
1008,2018-09-02,156.0
1009,2018-07-23,59.0
1009,2018-07-24,53.0
1009,2018-07-25,0.0
1009,2018-07-26,70.0
1009,2018-07-27,0.0
1009,2018-07-28,10.0
1009,2018-07-29,0.0
1009,2018-07-30,42.0
1009,2018-07-31,0.0
1009,2018-08-01,424.0
1009,2018-08-02,379.0
1009,2018-08-03,23.0
1009,2018-08-04,0.0
1009,2018-08-05,26.0
1009,2018-08-06,0.0
1009,2018-08-07,0.0
1009,2018-08-08,0.0
1009,2018-08-09,81.0
1009,2018-08-10,0.0
1009,2018-08-11,13.0
1009,2018-08-12,0.0
1009,2018-08-13,34.0
1009,2018-08-14,1.0
1009,2018-08-15,0.0
1009,2018-08-16,340.0
1009,2018-08-17,3.0
1009,2018-08-18,39.0
1009,2018-08-19,2.0
1009,2018-08-20,0.0
1009,2018-08-21,0.0
1009,2018-08-22,76.0
1009,2018-08-23,0.0
1009,2018-08-24,0.0
1009,2018-08-25,3.0
1009,2018-08-26,0.0
1009,2018-08-27,0.0
1009,2018-08-28,29.0
1009,2018-08-29,177.0
1009,2018-08-30,0.0
1009,2018-08-31,0.0
1009,2018-09-01,0.0
1009,2018-09-02,188.0
1010,2018-07-23,121.0
1010,2018-07-24,164.0
1010,2018-07-25,149.0
1010,2018-07-26,174.0
1010,2018-07-27,246.0
1010,2018-07-28,88.0
1010,2018-07-29,132.0
1010,2018-07-30,60.0
1010,2018-07-31,99.0
1010,2018-08-01,41.0
1010,2018-08-02,21.0
1010,2018-08-03,227.0
1010,2018-08-04,150.0
1010,2018-08-05,81.0
1010,2018-08-06,133.0
1010,2018-08-07,523.0
1010,2018-08-08,92.0
1010,2018-08-09,246.0
1010,2018-08-10,56.0
1010,2018-08-11,164.0
1010,2018-08-12,0.0
1010,2018-08-13,32.0
1010,2018-08-14,130.0
1010,2018-08-15,0.0
1010,2018-08-16,92.0
1010,2018-08-17,63.0
1010,2018-08-18,424.0
1010,2018-08-19,364.0
1010,2018-08-20,235.0
1010,2018-08-21,297.0
1010,2018-08-22,63.0
1010,2018-08-23,485.0
1010,2018-08-24,6.0
1010,2018-08-25,112.0
1010,2018-08-26,180.0
