date,pooled_group,net_food_weight_gram,gift,anon_id,kcal
04.08.18,1.0,1250.0,0.0,P029,280.96590875
04.08.18,1.0,1250.0,0.0,P016,280.96590875
04.08.18,1.0,1250.0,0.0,P024,280.96590875
04.08.18,1.0,1250.0,0.0,P063,280.96590875
04.08.18,1.0,1250.0,0.0,P025,280.96590875
04.08.18,1.0,1250.0,0.0,P018,280.96590875
04.08.18,1.0,1250.0,0.0,P056,280.96590875
04.08.18,1.0,1250.0,0.0,P051,280.96590875
04.08.18,2.0,2500.0,0.0,P029,561.9318175
04.08.18,2.0,2500.0,0.0,P051,561.9318175
04.08.18,2.0,2500.0,0.0,P056,561.9318175
04.08.18,2.0,2500.0,0.0,P018,561.9318175
04.08.18,2.0,2500.0,0.0,P016,561.9318175
04.08.18,2.0,2500.0,0.0,P025,561.9318175
04.08.18,2.0,2500.0,0.0,P024,561.9318175
04.08.18,2.0,2500.0,0.0,P063,561.9318175
04.08.18,3.0,2700.0,0.0,P024,606.8863629
04.08.18,3.0,2700.0,0.0,P056,606.8863629
04.08.18,3.0,2700.0,0.0,P051,606.8863629
04.08.18,3.0,2700.0,0.0,P018,606.8863629
04.08.18,3.0,2700.0,0.0,P063,606.8863629
04.08.18,3.0,2700.0,0.0,P029,606.8863629
04.08.18,3.0,2700.0,0.0,P025,606.8863629
04.08.18,3.0,2700.0,0.0,P016,606.8863629
04.08.18,4.0,2900.0,0.0,P018,738.0000011
04.08.18,4.0,2900.0,0.0,P070,738.0000011
04.08.18,4.0,2900.0,0.0,P025,738.0000011
04.08.18,4.0,2900.0,0.0,P029,738.0000011
04.08.18,4.0,2900.0,0.0,P063,738.0000011
04.08.18,4.0,2900.0,0.0,P016,738.0000011
04.08.18,4.0,2900.0,0.0,P051,738.0000011
04.08.18,4.0,2900.0,0.0,P074,738.0000011
04.08.18,4.0,2900.0,0.0,P056,738.0000011
04.08.18,5.0,10500.0,0.0,P063,2672.0689695
04.08.18,5.0,10500.0,0.0,P018,2672.0689695
04.08.18,5.0,10500.0,0.0,P025,2672.0689695
04.08.18,5.0,10500.0,0.0,P029,2672.0689695
04.08.18,5.0,10500.0,0.0,P070,2672.0689695
04.08.18,5.0,10500.0,0.0,P016,2672.0689695
04.08.18,5.0,10500.0,0.0,P074,2672.0689695
04.08.18,5.0,10500.0,0.0,P051,2672.0689695
04.08.18,5.0,10500.0,0.0,P056,2672.0689695
04.08.18,6.0,400.0,0.0,P056,199.404
04.08.18,6.0,400.0,0.0,P036,199.404
04.08.18,7.0,900.0,0.0,P056,1328.4
04.08.18,7.0,900.0,0.0,P036,1328.4
04.08.18,8.0,1100.0,0.0,P056,341.0
04.08.18,8.0,1100.0,0.0,P036,341.0
05.08.18,1.0,500.0,0.0,P016,112.3863635
05.08.18,1.0,500.0,0.0,P063,112.3863635
05.08.18,1.0,500.0,0.0,P024,112.3863635
05.08.18,1.0,500.0,0.0,P008,112.3863635
05.08.18,1.0,500.0,0.0,P037,112.3863635
05.08.18,1.0,500.0,0.0,P070,112.3863635
05.08.18,1.0,500.0,0.0,P018,112.3863635
05.08.18,1.0,500.0,0.0,P056,112.3863635
05.08.18,1.0,500.0,0.0,P025,112.3863635
05.08.18,2.0,1100.0,0.0,P069,247.24999970000002
05.08.18,2.0,1100.0,0.0,P067,247.24999970000002
05.08.18,3.0,750.0,0.0,P056,91.875
05.08.18,3.0,750.0,0.0,P051,91.875
05.08.18,3.0,750.0,0.0,P063,91.875
05.08.18,3.0,750.0,0.0,P029,91.875
05.08.18,3.0,750.0,0.0,P024,91.875
05.08.18,4.0,900.0,0.0,P061,529.7142861
05.08.18,4.0,900.0,0.0,P071,529.7142861
05.08.18,5.0,100.0,0.0,P018,22.4772727
05.08.18,5.0,100.0,0.0,P029,22.4772727
05.08.18,5.0,100.0,0.0,P074,22.4772727
